"Horodateur","Quel âge avez-vous ?  :","Sexe : ","Connaissez-vous Arduino ? :","Vous êtes intéressés par : ","Avez-vous déjà fait de la programmation ? ","Quel niveau avez-vous en programmation Arduino ? ","Quel niveau aimeriez-vous acquérir ? :","Cela vous dérange-t-il de lire du cours pour apprendre de nouvelles notions? :","Effectuer des montages électroniques vous pose-t-il un problème ? :","Êtes-vous autodidacte ? :"
"2016/05/03 8:13:59 PM UTC+2","de 18 à 25 ans","M","OUI","Aucun","Oui","aucun","base","Non","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 8:18:50 PM UTC+2","de 18 à 25 ans","F","OUI","Aucun","Oui","base","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 8:23:53 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Non, j'ai besoin d'être suivi"
"2016/05/03 8:44:00 PM UTC+2","de 40 à 60 ans","F","NON","Domotique","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 8:52:39 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Domotique","Oui","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/03 9:29:55 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Un peu","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 9:33:28 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non","Non, j'ai besoin d'être suivi"
"2016/05/03 9:50:43 PM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","aucun","base","Non","Non","Oui"
"2016/05/03 10:08:59 PM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 10:09:58 PM UTC+2","de 40 à 60 ans","M","OUI","Electronique embarquée en général","Un peu","aucun","avancé","Non","Non","Oui"
"2016/05/03 10:16:07 PM UTC+2","de 18 à 25 ans","F","NON","Electronique embarquée en général;Robotique;Domotique","Oui","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/03 10:19:23 PM UTC+2","de 30 à 40 ans","M","OUI","Domotique","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 10:19:23 PM UTC+2","de 30 à 40 ans","M","OUI","Domotique","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 10:19:24 PM UTC+2","de 30 à 40 ans","M","OUI","Domotique","Un peu","aucun","base","Non, s'il y en a peu","Non","Oui"
"2016/05/03 11:09:57 PM UTC+2","de 18 à 25 ans","M","OUI","Electronique embarquée en général;Robotique;Microprocesseur","Oui","base","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/04 7:36:23 AM UTC+2","de 15 à 18 ans","M","OUI","Aucun","Oui","base","avancé","Non, s'il y en a peu","Non","Oui"
"2016/05/04 7:55:52 AM UTC+2","de 15 à 18 ans","M","NON","Robotique;Domotique;Microprocesseur","Oui","aucun","base","Non","Non, s'il y en a peu","Oui"
"2016/05/04 8:18:01 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Oui","Oui","Oui"
"2016/05/04 8:32:46 AM UTC+2","de 18 à 25 ans","F","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/04 8:33:00 AM UTC+2","de 18 à 25 ans","M","OUI","Robotique","Oui","base","avancé","Non, s'il y en a peu","Non, s'il y en a peu","Oui"
"2016/05/04 8:36:54 AM UTC+2","de 18 à 25 ans","M","NON","Robotique;Domotique","Non","aucun","base","Non, s'il y en a peu","Non, s'il y en a peu","Non, j'ai besoin d'être suivi"
"2016/05/04 8:38:27 AM UTC+2","de 18 à 25 ans","M","NON","Aucun","Non","aucun","base","Non, s'il y en a peu","Oui","Oui"
